,12-29-2017,12-30-2016,9-30-2016,9-25-2015
Cash And Cash Equivalents,1260900000,342000000,280500000,365900000
Short Term Investments,,11100000,,
Net Receivables,599800000,431000000,509300000,570700000
Inventory,340400000,350700000,335600000,262100000
Other Current Assets,,310900000,318800000,542800000
Total Current Assets,2285200000,1566500000,1506600000,1846100000
Long Term Investments,,,,
Property Plant and Equipment,966800000,881500000,844000000,793000000
Goodwill,3482700000,3498100000,3705300000,3649400000
Intangible Assets,8375000000,9000500000,9182300000,9666300000
Accumulated Amortization,,,,
Other Assets,171200000,259700000,260500000,449300000
Deferred Long Term Asset Charges,,,,
Total Assets,15280900000,15206300000,15498700000,16404100000
Accounts Payable,113300000,112100000,110100000,116800000
Short/Current Long Term Debt,6734600000,6152000000,6045000000,6496300000
Other Current Liabilities,15800000,135100000,251100000,168400000
Total Current Liabilities,1050400000,1307200000,1234700000,929400000
Long Term Debt,6420900000,5880800000,5788500000,6473300000
Other Liabilities,1287600000,3034000000,3204600000,3689200000
Deferred Long Term Liability Charges,,,,
Minority Interest,,,,
Negative Goodwill,,,,
Total Liabilities,8758900000,10222000000,10228000000,11092900000
Misc. Stocks Options Warrants,,,,
Redeemable Preferred Stock,,,,
Preferred Stock,,,,
Common Stock,18400000,23600000,23600000,23500000
Retained Earnings,2588600000,529000000,682600000,38900000
Treasury Stock,1577600000,992300000,848200000,108800000
Capital Surplus,5492600000,5424000000,5412700000,5357600000
Other Stockholder Equity,12900000,72500000,85600000,900000
Total Stockholder Equity,6522000000,4984300000,5270700000,5311200000
Net Tangible Assets,5335700000,7514300000,7616900000,8004500000
Total Revenue,3221600000,3319600000,3380800000,2923100000
Cost of Revenue,1553100000,1522000000,1496600000,1255800000
Gross Profit,1668500000,1797600000,1884200000,1667300000
Research Development,277300000,264800000,262200000,203300000
Selling General and Administrative,951700000,1476800000,903900000,897400000
Non Recurring,,,,
Others,,,,
Total Operating Expenses,2782100000,3263600000,2662700000,2356500000
Operating Income or Loss,439500000,56000000,718100000,566600000
Total Other Income/Expenses Net,377900000,1250000000,484700000,459300000
Earnings Before Interest and Taxes,439500000,56000000,718100000,566600000
Interest Expense,369100000,365200000,384600000,255600000
Income Before Tax,61600000,1194000000,233400000,107300000
Income Tax Expense,1709600000,486800000,255600000,129300000
Minority Interest,,,,
Net Income From Continuing Ops,1771200000,707200000,489000000,236600000
Discontinued Operations,363200000,94400000,154700000,88100000
Extraordinary Items,,,,
Effect Of Accounting Changes,,,,
Other Items,,,,
Net Income,2134400000,612800000,643700000,324700000
Preferred Stock And Other Adjustments,,,,
Net Income Applicable To Common Shares,2134400000,612800000,643700000,322700000
Net Income,2134400000,612800000,643700000,324700000
Depreciation,808300000,806800000,808700000,641300000
Adjustments To Net Income,2026600000,87200000,383800000,103000000
Changes In Accounts Receivables,16200000,146000000,31200000,700000
Changes In Liabilities,25800000,21600000,9700000,20400000
Changes In Inventories,23600000,105200000,17300000,61300000
Changes In Other Operating Activities,89000000,436400000,17900000,79200000
Total Cash Flow From Operating Activities,727300000,782400000,1184600000,896400000
Capital Expenditures,186100000,260800000,182900000,148000000
Investments,,,,
Other Cash flows from Investing Activities,580800000,40800000,320300000,6100000
Total Cash Flows From Investing Activities,318400000,308800000,108000000,2296600000
Dividends Paid,,,,
Sale Purchase of Stock,4100000,1600000,14000000,34400000
Net Borrowings,547800000,413200000,470300000,1161600000
Other Cash Flows from Financing Activities,30400000,4800000,53100000,33900000
Total Cash Flows From Financing Activities,130200000,215600000,1162300000,1069900000
Effect Of Exchange Rate Changes,2500000,12000000,300000,11600000
Change In Cash and Cash Equivalents,918000000,246000000,85400000,341900000
